Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
2012-01-03,106.24102020263672,178.10707092285156,180.4110870361328,177.8202667236328,178.51815795898438,5905716
2012-01-04,105.8076171875,177.3804931640625,178.13575744628906,176.806884765625,177.4091796875,4546648
2012-01-05,105.30583190917969,176.53919982910156,176.89292907714844,175.0478057861328,176.68260192871094,4668403
2012-01-06,104.09681701660156,174.51242065429688,176.3671112060547,174.29254150390625,176.28106689453125,5122367
2012-01-09,103.55504608154297,173.6042022705078,174.25430297851562,172.34225463867188,174.1873779296875,5440455
2012-01-10,103.3954086303711,173.33651733398438,175.64053344726562,173.23135375976562,175.17208862304688,5398406
2012-01-11,103.97138214111328,174.30210876464844,174.7705535888672,172.5621337890625,172.7820281982422,4299897
2012-01-12,102.96200561523438,172.6099395751953,173.91014099121094,170.53536987304688,173.86233520507812,7197526
2012-01-13,102.16932678222656,171.28106689453125,171.71128845214844,169.55067443847656,171.58700561523438,5522043
2012-01-17,102.64830017089844,172.08413696289062,173.9961700439453,171.4340362548828,172.4282989501953,6279556
2012-01-18,103.25849151611328,173.10707092285156,173.61376953125,171.6061248779297,171.92160034179688,4812228
2012-01-19,102.94490051269531,172.58126831054688,174.34034729003906,172.41873168945312,173.79541015625,8961291
2012-01-20,107.50703430175781,180.2294464111328,180.65965270996094,176.625244140625,177.6003875732422,13440786
2012-01-23,108.33961486816406,181.625244140625,182.14149475097656,179.4168243408203,179.64627075195312,6016278
2012-01-24,109.4516830444336,183.48948669433594,183.8432159423828,180.2294464111328,180.33460998535156,5591602
2012-01-25,109.33760070800781,183.29827880859375,183.78585815429688,181.27151489257812,182.91586303710938,4560246
2012-01-26,108.90991973876953,182.58126831054688,184.31166076660156,182.09368896484375,183.3556365966797,4188916
2012-01-27,108.6133804321289,182.08413696289062,183.33651733398438,181.46270751953125,181.65391540527344,3514978
2012-01-30,109.77669525146484,184.034423828125,184.25430297851562,179.94264221191406,181.06118774414062,4559514
2012-01-31,109.83373260498047,184.13002014160156,184.6080322265625,182.6003875732422,184.5984649658203,5048833
2012-02-01,109.84513854980469,184.14913940429688,186.24282836914062,183.94837951660156,184.71319580078125,5322885
2012-02-02,109.22354888916016,183.10707092285156,184.82791137695312,182.91586303710938,184.24473571777344,4087036
2012-02-03,110.42678833007812,185.12428283691406,185.5927276611328,184.07266235351562,184.4455108642578,4729698
2012-02-06,109.95919799804688,184.34034729003906,185.23899841308594,183.55641174316406,184.01528930664062,3807231
2012-02-07,110.26144409179688,184.84703063964844,185.602294921875,183.52772521972656,183.9866180419922,3590918
2012-02-08,110.46179962158203,184.46463012695312,185.06692504882812,183.29827880859375,184.30210876464844,3978775
2012-02-09,110.56484985351562,184.63670349121094,185.90821838378906,184.08221435546875,184.54110717773438,4054714
2012-02-10,110.15836334228516,183.9579315185547,183.96749877929688,182.86807250976562,183.32696533203125,3547091
2012-02-13,110.27288055419922,184.14913940429688,185.17208862304688,183.30784606933594,184.8087921142578,2571905
2012-02-14,110.04389190673828,183.7667236328125,184.13002014160156,182.4378662109375,183.32696533203125,3554413
2012-02-15,110.06107330322266,183.79541015625,184.93307495117188,182.8489532470703,183.85276794433594,4205861
2012-02-16,110.5018539428711,184.53155517578125,184.75143432617188,183.55641174316406,184.1395721435547,3687673
2012-02-17,110.7308349609375,184.91395568847656,185.33460998535156,183.8432159423828,185.1912078857422,3918839
2012-02-21,110.71371459960938,184.88528442382812,185.69789123535156,183.9961700439453,185.2103271484375,3445106
2012-02-22,110.98851013183594,185.3441619873047,186.1759033203125,184.27342224121094,184.54110717773438,3426487
2012-02-23,113.12960052490234,188.91969299316406,190.46844482421875,184.78012084960938,185.3441619873047,8402204
2012-02-24,113.2154312133789,189.06309509277344,189.82791137695312,187.9636688232422,189.6558380126953,3507447
2012-02-27,113.0837631225586,188.8432159423828,189.9713134765625,187.47610473632812,188.12619018554688,3931286
2012-02-28,113.34140014648438,189.27342224121094,190.2103271484375,188.7476043701172,189.0535430908203,3313100
2012-02-29,112.6258316040039,188.07839965820312,190.4110870361328,187.81069946289062,189.15870666503906,5352487
2012-03-01,113.0837631225586,188.8432159423828,189.7418670654297,188.26959228515625,188.55641174316406,3724074
2012-03-02,113.81658172607422,190.06692504882812,190.14340209960938,188.3938751220703,188.43212890625,3898860
2012-03-05,114.87568664550781,191.8355712890625,192.34225463867188,189.579345703125,189.63670349121094,7257148
2012-03-06,112.92926025390625,188.5850830078125,190.8604278564453,188.15487670898438,190.38241577148438,5454576
2012-03-07,113.2212142944336,189.07266235351562,189.8374786376953,188.6328887939453,189.3785858154297,3500857
2012-03-08,114.38905334472656,191.02294921875,191.1950225830078,189.91395568847656,190.47801208496094,3290507
2012-03-09,114.85279846191406,191.7973175048828,192.25621032714844,190.93690490722656,191.1854705810547,3324397
2012-03-12,115.0703125,192.16061401367188,192.70555114746094,191.42446899414062,192.09368896484375,3263206
2012-03-13,116.6618881225586,194.818359375,194.93307495117188,192.74378967285156,192.8489532470703,5089836
2012-03-14,117.20004272460938,195.71701049804688,196.12811279296875,194.68450927734375,194.818359375,4814006
2012-03-15,117.93275451660156,196.9407196044922,197.11280822753906,195.73614501953125,195.92733764648438,3787671
2012-03-16,117.9384994506836,196.95028686523438,198.3938751220703,196.95028686523438,197.92543029785156,10080302
2012-03-19,117.77246856689453,196.67303466796875,197.44741821289062,195.50669860839844,196.66348266601562,3936307
2012-03-20,116.93096160888672,195.26768493652344,195.98471069335938,194.7418670654297,195.73614501953125,3865075
