Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2012-01-03,5.724580764770508,5.786301252603647,5.652573283709763,5.657716780323566,45709900
2012-01-04,5.812020778656006,5.930318309275072,5.693722757525891,5.734869767350875,79725200
2012-01-05,5.961177349090576,5.981750848954552,5.781158857397586,5.827449354719265,67877500
2012-01-06,6.022898197174072,6.06918869717417,5.925174189793497,6.038328200337119,59840700
2012-01-09,6.069188594818115,6.146339099843176,6.017754597794109,6.0846185977209375,53981500
2012-01-10,6.069188594818115,6.197773096867181,5.981751094183874,6.172056098355178,121750600
2012-01-11,6.208059787750244,6.264637284272001,5.992037778602178,6.038328279206901,63806000
2012-01-12,6.2440619468688965,6.2646354421423185,6.115477478782302,6.254348449250198,48687700
2012-01-13,6.192630290985107,6.213203793991264,6.089762775954325,6.177200286358241,46366700
2012-01-17,6.182340145111084,6.3057810904766844,6.151479663514326,6.274920608879927,44398400
2012-01-18,6.346928119659424,6.362358115317666,6.172053200496962,6.1874831961552035,47102700
2012-01-19,6.485800266265869,6.542377745039216,6.393219784609971,6.418936285313337,70894200
2012-01-20,6.4755144119262695,6.5012314057132885,6.403506927424789,6.454940914998827,43705700
2012-01-23,6.511516094207764,6.604097049835026,6.454939116052616,6.526946089975401,49379700
2012-01-24,6.593812465667725,6.614385964370632,6.408650977341568,6.460084969354284,45768400
2012-01-25,6.650389194488525,6.67610569704321,6.532091222591427,6.583525208722486,54021600
2012-01-26,6.5783843994140625,6.71211242557682,6.511520386332683,6.701825427943818,75470700
2012-01-27,6.304713726043701,6.469947670514207,6.087843927708164,6.17562458381712,142155300
2012-01-30,6.3460211753845215,6.423474451092197,6.196277814563345,6.227259420307965,57752600
2012-01-31,6.413147449493408,6.459619610965027,6.299548887277886,6.438965371692742,46412100
2012-02-01,6.366674900054932,6.5835446454164614,6.346020662041257,6.5732172801916855,71669000
2012-02-02,6.330533027648926,6.41831370281942,6.299551410115061,6.4028226478344346,48347600
2012-02-03,6.6042022705078125,6.630020204375043,6.397659784442225,6.438968281655343,78851200
2012-02-06,6.691981792449951,6.712636037483227,6.562892637882966,6.635182741717454,46363300
2012-02-07,6.650672912597656,6.697145084307875,6.6248549847102,6.676490840485114,39413500
2012-02-08,6.63001823425293,6.691980961660267,6.609363991783817,6.666163035464881,35352500
2012-02-09,6.552563667297363,6.660998550322896,6.542236793523274,6.655835359653813,52290500
2012-02-10,6.423476696014404,6.537075300198035,6.387331887043468,6.464785682256162,52505500
2012-02-13,6.475110054016113,6.578381248570618,6.459619497941913,6.578381248570618,34474400
2012-02-14,6.444129467010498,6.495765318659406,6.371839865625199,6.433802592142302,39627900
2012-02-15,6.392495632171631,6.490603182776411,6.366677700190555,6.438967811250351,38174800
